word,tfidf,label
atrocity,0.5877290493757648,-1
flee,0.5018000640392691,-1
food,0.5806966671014795,-1
arena,0.6164076627776338,-1
price,0.5894793660548332,-1
dutch,0.5001585751442068,-1
surging,0.4113678430303359,-1
content,0.43937118848932927,-1
testing,0.4060079081509676,-1
east,0.6309748218478731,-1
day,0.5860308333921537,-1
podium,0.6993242797085346,-1
refugee,0.6989173981999034,-1
minister,0.532493427714413,-1
volunteer,0.6270168600034347,-1
measure,0.552983010148403,-1
body,0.719902022298069,-1
conspiracy,0.5500239172969389,-1
break,0.5657539689145981,-1
price,0.5894793660548332,-1
tell,0.5743165592737483,-1
helicopter,0.6429937422364298,-1
peace,0.7059311437996274,-1
boycott,0.6159460689594466,-1
trust,0.5717917124077714,-1
nuclear,0.755016060340973,-1
vital,0.43703103089204887,-1
paper,0.5373440920748196,-1
marry,0.5906024490012273,-1
medical,0.662835325194511,-1
disease,0.5635037138892832,-1
lee,0.6998133636023264,-1
sound,0.6205256150690212,-1
wanting,0.43645680658697333,-1
ship,0.6538824535867263,-1
question,0.7160204964087641,-1
advert,0.7514670191833136,-1
survey,0.6080133645449828,-1
sanction,0.6348768219026447,-1
russia,0.6384037578684733,-1
editor,0.5786616084404016,-1
worried,0.48180419178230743,-1
welsh,0.6048700511849467,-1
father,0.6124454959770813,-1
derby,0.6628541694894406,-1
bowler,0.5868831636468521,-1
team,0.47134858826639014,-1
welsh,0.6048700511849467,-1
bronze,0.6813316831896757,-1
prove,0.48599462707155383,-1
area,0.5318110383198159,-1
covid,0.5953606901284331,-1
still,0.4253121240246421,-1
fourth,0.5345404855360798,-1
covering,0.6003040216592007,-1
covid,0.5953606901284331,-1
map,0.6383094451418252,-1
legally,0.4910848810506376,-1
free,0.6177107205668887,-1
test,0.5405665999034311,-1
covid,0.5953606901284331,-1
crew,0.6164813675015945,-1
student,0.7022180852234817,-1
photo,0.6480235965449818,-1
police,0.535152154574625,-1
man,0.6118119870773391,-1
cup,0.6429169337300138,-1
thousand,0.4346162440031119,-1
escape,0.6964084447885195,-1
bought,0.39679230874700894,-1
arsenal,0.6617691489469469,-1
queen,0.5708009729510559,-1
actress,0.7241919383556681,-1
pop,0.6164439060594166,-1
partner,0.537470277737076,-1
dog,0.673783455229006,-1
brain,0.798393903875154,-1
inquest,0.819876168674852,-1
economic,0.5346668078531043,-1
wale,0.5589402032022874,-1
rest,0.5947649875698539,-1
squad,0.5816912394740607,-1
west,0.6368605349028282,-1
hell,0.6270858220529243,-1
link,0.48920299221024766,-1
visa,0.6299152863922642,-1
boycott,0.6159460689594466,-1
tornado,0.6680711350184904,-1
guide,0.8169978146070377,-1
symbol,0.7313532755632169,-1
worker,0.5059747746110422,-1
simply,0.4563707999251405,-1
finally,0.6030269444329093,-1
servant,0.4749012087109487,-1
bullying,0.4480243481459775,-1
player,0.663905111887958,-1
positive,0.5838786128193549,-1
oil,0.7357456296936434,-1
previously,0.4469840577675281,-1
squeeze,0.5352193557521233,-1
billion,0.40073619316211095,-1
researcher,0.5408337886931974,-1
food,0.5806966671014795,-1
vaccine,0.6317180954063906,-1
citizen,0.559398803356472,-1
financial,0.6207422911232925,-1
disabled,0.6678328951170083,-1
hoax,0.7015597282033952,-1
humanitarian,0.44160215474837494,-1
basement,0.7355655770850196,-1
designer,0.6981133367361427,-1
eve,0.6403304644288984,-1
posted,0.5137076015601751,-1
detective,0.40701551196736113,-1
presidential,0.6595647704966631,-1
kidney,0.7904561516485081,-1
tech,0.5179028430509793,-1
way,0.48368879468702963,-1
cup,0.6429169337300138,-1
city,0.5258460495046058,-1
ban,0.6755440341630086,-1
root,0.5744512855525674,-1
football,0.573386769424269,-1
brain,0.798393903875154,-1
safe,0.6040508939923448,-1
rematch,0.7097056555283481,-1
cup,0.6429169337300138,-1
oil,0.7357456296936434,-1
troop,0.8724133123085707,-1
response,0.6083212170011069,-1
halt,0.5216685707462424,-1
oil,0.7357456296936434,-1
terrorist,0.47555850743511874,-1
kremlin,0.5411485126906113,-1
lee,0.6998133636023264,-1
missing,0.618281143019216,-1
present,0.4101992566689779,-1
scam,0.5274985176455866,-1
case,0.5604723132574775,-1
tell,0.5743165592737483,-1
welcome,0.5946822841455015,-1
oil,0.7357456296936434,-1
treat,0.6265254246206857,-1
west,0.6368605349028282,-1
soldier,0.5685522056436848,-1
met,0.6840947053247539,-1
oil,0.7357456296936434,-1
president,0.7022708187436645,-1
leader,0.5678272652294835,-1
drone,0.6693656085167048,-1
singing,0.7616368539158014,-1
travel,0.5717196577796454,-1
taught,0.47699246398567974,-1
video,0.7276039936230306,-1
office,0.5497626200549054,-1
private,0.5583286563365747,-1
threat,0.623374206086815,-1
refugee,0.6989173981999034,-1
nurse,0.605092359164859,-1
activity,0.4067987199321762,-1
cup,0.6429169337300138,-1
inter,0.6549327728026786,-1
rescue,0.5935378215503332,-1
score,0.5124803551277954,-1
donate,0.5405303040648075,-1
wale,0.5589402032022874,-1
dismiss,0.5031495806086558,-1
chemical,0.6746183771146981,-1
tape,0.590918298793555,-1
supply,0.5085849407509314,-1
era,0.5771390697663501,-1
private,0.5583286563365747,-1
deep,0.5122195122347408,-1
bank,0.6018697096753057,-1
household,0.5612691492298911,-1
blamed,0.5223989168429499,-1
burning,0.6133927050774282,-1
man,0.6118119870773391,-1
rule,0.5407943584898175,-1
real,0.688148001963272,-1
freedom,0.6115865854065748,-1
soviet,0.4835927746929688,-1
food,0.5806966671014795,-1
department,0.39236465053718445,-1
guide,0.8169978146070377,-1
paper,0.5373440920748196,-1
novel,0.7043304092909687,-1
glass,0.7442755565156294,-1
robot,0.7425463188147311,-1
club,0.5188143480728898,-1
riot,0.6985467626594841,-1
done,0.5062647924016473,-1
unlikely,0.5865484587286685,-1
pain,0.619524792772324,-1
community,0.6325833115457813,-1
kidney,0.7904561516485081,-1
better,0.5276393020153685,-1
bowler,0.5868831636468521,-1
fame,0.6828583027016703,-1
running,0.5924477530236946,-1
director,0.5822798204360272,0
public,0.5231579511659565,0
pregnancy,0.6337972807770444,0
genetic,0.5169362349746106,0
awareness,0.4859303581153887,0
hair,0.6833237514342096,0
sweet,0.8175379034450853,0
menopause,0.647886437191726,0
exercise,0.631693766910813,0
rape,0.7317417932042438,0
range,0.4627052907979035,0
bright,0.4274556670246055,0
peter,0.6790194268895485,0
officer,0.5964755119436993,0
japan,0.6616850873483747,0
thief,0.7580115971102803,0
conservation,0.39448433418231144,1
reign,0.4311886142527855,1
balcony,0.567598666168349,1
balcony,0.567598666168349,1
jubilee,0.660887176129951,1
cook,0.6496478894220246,1
jubilee,0.660887176129951,1
queen,0.5708009729510559,1
pageant,0.6027729949540636,1
balcony,0.567598666168349,1
jubilee,0.660887176129951,1
love,0.61459803143255,1
queen,0.5708009729510559,1
await,0.4062372520166244,2
report,0.5751668766438823,2
gray,0.5517876926290156,2
official,0.5779502681511566,2
party,0.5781429881633086,2
gray,0.5517876926290156,2
gray,0.5517876926290156,2
report,0.5751668766438823,2
gray,0.5517876926290156,2
question,0.7160204964087641,2
abortion,0.5989491607773993,3
leak,0.5931234214650846,3
supreme,0.5315184789657713,3
landmark,0.44758095999093284,3
supreme,0.5315184789657713,3
supreme,0.5315184789657713,3
gun,0.6581151596164512,3
supreme,0.5315184789657713,3
clinic,0.666291576450606,3
roe,0.5625435192127083,3
roe,0.5625435192127083,3
struck,0.5165240965061602,3
supreme,0.5315184789657713,3
effectively,0.5370048693133621,3
roe,0.5625435192127083,3
abortion,0.5989491607773993,3
abortion,0.5989491607773993,3
roe,0.5625435192127083,3
pill,0.5511616557253304,3
abortion,0.5989491607773993,3
abortion,0.5989491607773993,3
