title,pubDate,guid,link,description
Black man 'not dressed for climate' searched by Met police,"Sat, 26 Mar 2022 10:07:10 GMT",https://www.bbc.co.uk/news/uk-england-london-60882083,https://www.bbc.co.uk/news/uk-england-london-60882083?at_medium=RSS&at_campaign=KARANGA,"Officers are heard in footage saying it was ""odd"" the man was wearing a coat in warm weather."
Dorset Police hunt prisoner on the run in underwear and socks,"Sat, 26 Mar 2022 17:28:00 GMT",https://www.bbc.co.uk/news/uk-england-hampshire-60886506,https://www.bbc.co.uk/news/uk-england-hampshire-60886506?at_medium=RSS&at_campaign=KARANGA,Police say the man escaped a prison van after assaulting security officers in Poole.
Man found buried in garden died from stab wound to neck,"Sat, 26 Mar 2022 16:22:12 GMT",https://www.bbc.co.uk/news/uk-england-northamptonshire-60887765,https://www.bbc.co.uk/news/uk-england-northamptonshire-60887765?at_medium=RSS&at_campaign=KARANGA,A post-mortem examination was carried out on the remains of 42-year-old Nicholas Billingham.
Sergio Perez on Saudi Arabia pole as Lewis Hamilton out early and Mick Schumacher crashes,"Sat, 26 Mar 2022 19:58:57 GMT",https://www.bbc.co.uk/sport/formula1/60888825,https://www.bbc.co.uk/sport/formula1/60888825?at_medium=RSS&at_campaign=KARANGA,Red Bull's Sergio Perez beats Ferrari's Charles Leclerc to take his first Formula 1 pole position at the Saudi Arabian Grand Prix.
War in Ukraine: Change of emphasis or admission of failure by Moscow?,"Fri, 25 Mar 2022 20:18:56 GMT",https://www.bbc.co.uk/news/world-europe-60882156,https://www.bbc.co.uk/news/world-europe-60882156?at_medium=RSS&at_campaign=KARANGA,"Moscow now says the main aim is to ""liberate"" eastern Ukraine - a change of emphasis or more?"
Russian general Yakov Rezantsev killed in Ukraine,"Sat, 26 Mar 2022 11:06:30 GMT",https://www.bbc.co.uk/news/world-europe-60807538,https://www.bbc.co.uk/news/world-europe-60807538?at_medium=RSS&at_campaign=KARANGA,Western officials believe low morale among Russian troops is forcing generals to the battlefield.
Ukraine war: Ros Atkins on... Putin’s false ‘Nazi’ claims,"Sat, 26 Mar 2022 00:29:05 GMT",https://www.bbc.co.uk/news/world-europe-60853404,https://www.bbc.co.uk/news/world-europe-60853404?at_medium=RSS&at_campaign=KARANGA,Russia is spreading untruths about Nazis in Ukraine - one of Putin's justifications for his invasion.
Tracking the Ukrainian counter-attacks in maps ,"Sat, 26 Mar 2022 11:17:56 GMT",https://www.bbc.co.uk/news/world-europe-60506682,https://www.bbc.co.uk/news/world-europe-60506682?at_medium=RSS&at_campaign=KARANGA,Russia says it is focusing on taking full control of the east of Ukraine as counter-attacks push its troops back in several areas of the country.
Ukraine defence: Red lights and painted arrows fuel fear of Russian agents,"Sat, 26 Mar 2022 17:05:19 GMT",https://www.bbc.co.uk/news/world-60879945,https://www.bbc.co.uk/news/world-60879945?at_medium=RSS&at_campaign=KARANGA,"Fear of Russian saboteurs operating in Ukraine has soared, but is it based on intelligence and arrests?"
Civilian deaths: Aerial video shows escaping father killed in Ukraine,"Sat, 26 Mar 2022 00:17:05 GMT",https://www.bbc.co.uk/news/world-europe-60839787,https://www.bbc.co.uk/news/world-europe-60839787?at_medium=RSS&at_campaign=KARANGA,Video captured by a Ukrainian aerial reconnaissance group appears to show Russian forces shooting at civilians.
Next stop Kyiv - the battle on the capital's outskirts,"Fri, 25 Mar 2022 18:40:28 GMT",https://www.bbc.co.uk/news/world-europe-60874223,https://www.bbc.co.uk/news/world-europe-60874223?at_medium=RSS&at_campaign=KARANGA,"In Irpin, only a few civilians remain as volunteers bolster defences a few miles from Kyiv."
"In pictures: Taylor Hawkins, a drummer who 'served the song'","Sat, 26 Mar 2022 14:04:45 GMT",https://www.bbc.co.uk/news/in-pictures-60885675,https://www.bbc.co.uk/news/in-pictures-60885675?at_medium=RSS&at_campaign=KARANGA,"The drummer with US rock group Foo Fighters, Taylor Hawkins, has died aged 50."
"1,000-year-old oaks used to create 'super forest'","Sat, 26 Mar 2022 00:26:30 GMT",https://www.bbc.co.uk/news/science-environment-60617810,https://www.bbc.co.uk/news/science-environment-60617810?at_medium=RSS&at_campaign=KARANGA,Could an experimental forest hold the answers to meeting the UK's big tree planting ambitions?
BBC Breakfast forced off air early by fire alarm,"Sat, 26 Mar 2022 12:00:55 GMT",https://www.bbc.co.uk/news/entertainment-arts-60885467,https://www.bbc.co.uk/news/entertainment-arts-60885467?at_medium=RSS&at_campaign=KARANGA,Roger Johnson and Rachel Burden were interviewing The Apprentice winner Harpreet Kaur at the time.
