word,tfidf,label
forget,0.5721159865486424,8
worried,0.5847429525787378,8
extreme,0.5338016431056529,8
helping,1.0,8
done,0.6026307982011692,8
harder,0.5490279617199677,8
operation,0.5877359130514818,8
conflict,0.8249829435892729,8
crisis,0.7759856024185631,8
anthem,0.6020982347574297,8
default,0.5052949953985598,8
accused,1.0,8
female,0.5242687963500596,8
trend,0.6464747715370105,8
opposition,0.5612787654851937,8
mayor,0.5656526277664761,8
string,0.48639811453356,8
spokesman,0.7083546690202085,8
complex,0.584139716948252,8
suspected,0.5734742620202625,8
ready,0.5114890551109895,8
divided,0.5842003359688619,8
middle,0.5207839150978332,8
earl,0.5268045294411405,8
country,0.7272115115779485,8
enter,0.5375578689392146,8
boxing,0.4753895655753215,8
visitor,0.6862293906407217,8
investment,0.6271548747861921,8
export,0.5094747046596905,8
pandemic,0.5250678069119096,8
rage,0.5505141456454871,8
natural,0.5422585613225934,8
taking,0.6865044099291312,8
treatment,0.7562947787831187,8
network,0.5460073589695293,8
breakfast,0.550130954507473,8
country,0.7272115115779485,8
several,0.6287324238463649,8
describe,0.5778639262769487,8
serving,0.5826229070139062,8
enter,0.5375578689392146,8
security,0.5567345011185693,8
tackling,0.6067165481507117,8
offensive,0.6504505671043236,8
cook,0.5692997237565783,8
platinum,0.4567160581827184,8
plane,0.7113339089996064,8
effectively,0.5102174983675563,8
crash,0.5374347456546965,8
becomes,0.6834401111000367,8
selection,0.5724427540430321,8
main,0.5274711038157702,8
summit,0.7136343091514108,8
triggered,0.5535298288830545,8
satellite,0.5647526339080675,8
shut,0.6032668376153489,8
default,0.5052949953985598,8
humanitarian,0.5305713473048365,8
el,0.5229478395584508,8
alliance,0.5752284065766171,8
marriage,0.6323140831975846,8
shopper,0.5187972498125286,8
divided,0.5842003359688619,8
beginning,0.619937215011527,8
shanghai,0.5368253825478108,8
hero,0.580282213075773,8
feed,0.5159558657248984,8
likely,0.607480656971651,8
forecast,0.519998872405626,8
grapple,0.7480900556932459,8
tourist,0.6498472675216331,8
province,0.5512531197213725,8
case,0.7206997055998751,8
forcing,0.4362647923891982,8
express,0.6247279952099757,8
capital,0.5174706554887625,8
link,0.7532941879828553,8
park,0.8457152863915663,8
raising,0.779237172506473,8
separate,0.5382112412938445,8
walk,0.536636404472165,8
arrive,0.5448624758358733,8
rainfall,0.5138719841452484,8
mountain,0.7850646313292766,8
policy,0.6102703932532836,8
act,0.5191729324640891,8
lady,0.5959290926788774,8
industrial,0.5557045148227627,8
officially,0.58633854794626,8
estate,0.5845756878856162,8
swept,0.5536934177046415,8
sought,0.5633827950916019,8
un,0.5433799218340158,8
democrat,0.7205434164525796,8
flee,0.5002425786141012,1
deliver,0.5339114939088178,1
arena,0.5514155724936078,1
consumer,0.5082675183455265,1
oligarch,0.56095017571301,1
content,0.5376040605914848,1
morning,0.5097766878538292,1
east,0.6317763583751267,1
here,0.5598767890969892,1
wearing,0.4831585495133843,1
polish,0.4872764284289669,1
cabinet,0.5983523168813564,1
volunteer,0.5290214077007515,1
conspiracy,0.6586431912771988,1
armed,0.5241237427703648,1
really,0.7663191429013971,1
feel,0.5712516754311399,1
large,0.5247679462263194,1
offensive,0.6504505671043236,1
flee,0.5002425786141012,1
civil,0.5672309438878123,1
medical,0.5785694484368604,1
trust,0.5800468750687962,1
sound,0.6553490656668145,1
correspondent,0.5998313577623103,1
ad,0.5394479378160942,1
ground,0.633278992613276,1
happen,0.557831005749105,1
screen,0.5908065960480454,1
increasing,0.4873333345464357,1
writer,0.6389956819897311,1
struggling,0.5039215856333632,1
bowler,0.539351463056132,1
he,0.4913420738774249,1
resort,0.5926368483710209,1
bronze,0.4665843145924582,1
data,0.6135291969749892,1
removing,0.516299756761176,1
watched,0.580233951208089,1
jab,0.5648899603065827,1
covering,0.5457992799832017,1
map,0.889945966465247,1
legally,0.6819093529495553,1
free,0.5861751849033877,1
fully,0.5437392929742545,1
restriction,0.8514063845008825,1
sea,0.5250089353850282,1
cover,0.49732927271094113,1
background,0.6945702436956174,1
murphy,0.4774036576405208,1
ground,0.633278992613276,1
arrive,0.5448624758358733,1
escape,0.5522329228416194,1
super,0.4811469845778687,1
meeting,0.5150627800856038,1
nurse,0.6288989647885523,1
pop,0.5989788768260564,1
partner,0.6397515529066085,1
size,0.5387167224793745,1
night,1.0,1
really,0.7663191429013971,1
mistake,0.576980431114448,1
jordan,0.5207505442949735,1
gray,0.5797938445008454,1
batter,0.4801957020700668,1
stream,0.592298485664481,1
drink,0.6208142649684517,1
wind,0.621569453678096,1
route,0.6556935535639133,1
symbol,0.5627208444318694,1
nuclear,0.7026478513470014,1
behaviour,0.5879596769978772,1
increasingly,0.5295129409194917,1
positive,0.6239899946965762,1
halt,0.6310391626746376,1
previously,0.649131423496259,1
spring,0.5994671409468799,1
buyer,0.566795312819806,1
ability,0.49387181976746486,1
push,0.5518037902471457,1
experienced,0.6827881624986167,1
vaccine,0.6186815855044068,1
citizen,0.6668426444989931,1
financial,0.6343106446452034,1
spreading,0.6838026679782314,1
humanitarian,0.5305713473048365,1
basement,0.5836655150262154,1
icon,0.9405730942863578,1
eve,0.5398729906404829,1
posted,0.5558890763355536,1
elaine,0.5536965605759606,1
improve,0.47837509298083175,1
march,0.684043275082086,1
la,0.6708791370033595,1
alexander,0.5367296006348606,1
football,0.6480799510191347,1
morning,0.5097766878538292,1
brook,0.434603293332212,1
comfortable,0.5514204185395781,1
main,0.5274711038157702,1
visa,0.5587645026166439,1
turning,0.5036676741337812,1
analyst,0.5714792481081795,1
