word,tfidf,label
forget,0.5721159865486424,-1
flee,0.5002425786141012,-1
deliver,0.5339114939088178,-1
arena,0.5514155724936078,-1
consumer,0.5082675183455265,-1
oligarch,0.56095017571301,-1
application,0.5688311498620368,-1
content,0.5376040605914848,-1
morning,0.5097766878538292,-1
east,0.6317763583751267,-1
here,0.5598767890969892,-1
polish,0.4872764284289669,-1
cabinet,0.5983523168813564,-1
volunteer,0.5290214077007515,-1
measure,0.47235061704517,-1
resident,0.6531790443781744,-1
agreement,0.5546871156787805,-1
item,0.5672474484651049,-1
tell,0.5289383880218879,-1
armed,0.5241237427703648,-1
really,0.7663191429013971,-1
feel,0.5712516754311399,-1
trust,0.5800468750687962,-1
large,0.5247679462263194,-1
flee,0.5002425786141012,-1
civil,0.5672309438878123,-1
medical,0.5785694484368604,-1
trust,0.5800468750687962,-1
disaster,0.5700341014059485,-1
sound,0.6553490656668145,-1
rare,0.703001534904864,-1
path,0.5695546460682767,-1
correspondent,0.5998313577623103,-1
ad,0.5394479378160942,-1
ground,0.633278992613276,-1
protect,1.0,-1
screen,0.5908065960480454,-1
increasing,0.4873333345464357,-1
worried,0.5847429525787378,-1
writer,0.6389956819897311,-1
struggling,0.5039215856333632,-1
legend,0.6107375976404079,-1
bowler,0.539351463056132,-1
he,0.4913420738774249,-1
resort,0.5926368483710209,-1
bronze,0.4665843145924582,-1
emphatic,0.4762225259829368,-1
data,0.6135291969749892,-1
removing,0.516299756761176,-1
watched,0.580233951208089,-1
jab,0.5648899603065827,-1
covering,0.5457992799832017,-1
expect,0.5421051391605994,-1
map,0.889945966465247,-1
legally,0.6819093529495553,-1
free,0.5861751849033877,-1
fully,0.5437392929742545,-1
restriction,0.8514063845008825,-1
sea,0.5250089353850282,-1
cover,0.49732927271094113,-1
background,0.6945702436956174,-1
cricketer,0.7228928852985231,-1
murphy,0.4774036576405208,-1
ground,0.633278992613276,-1
arrive,0.5448624758358733,-1
escape,0.5522329228416194,-1
bought,0.6110072334113046,-1
super,0.4811469845778687,-1
meeting,0.5150627800856038,-1
nurse,0.6288989647885523,-1
pop,0.5989788768260564,-1
partner,0.6397515529066085,-1
suspicion,0.8080669674819118,-1
size,0.5387167224793745,-1
night,1.0,-1
really,0.7663191429013971,-1
mistake,0.576980431114448,-1
jordan,0.5207505442949735,-1
gray,0.5797938445008454,-1
batter,0.4801957020700668,-1
stream,0.592298485664481,-1
link,0.7532941879828553,-1
facing,0.5903175233726037,-1
drink,0.6208142649684517,-1
wind,0.621569453678096,-1
route,0.6556935535639133,-1
nuclear,0.7026478513470014,-1
simply,0.5699897555744647,-1
basement,0.5836655150262154,-1
unlikely,0.6846142923781562,-1
behaviour,0.5879596769978772,-1
increasingly,0.5295129409194917,-1
positive,0.6239899946965762,-1
halt,0.6310391626746376,-1
previously,0.649131423496259,-1
spring,0.5994671409468799,-1
buyer,0.566795312819806,-1
ability,0.49387181976746486,-1
push,0.5518037902471457,-1
experienced,0.6827881624986167,-1
vaccine,0.6186815855044068,-1
citizen,0.6668426444989931,-1
financial,0.6343106446452034,-1
bus,0.4931598071277656,-1
spreading,0.6838026679782314,-1
humanitarian,0.5305713473048365,-1
basement,0.5836655150262154,-1
icon,0.9405730942863578,-1
eve,0.5398729906404829,-1
posted,0.5558890763355536,-1
extreme,0.5338016431056529,-1
vying,0.610891710983812,-1
elaine,0.5536965605759606,-1
improve,0.47837509298083175,-1
today,0.5388868999293883,-1
march,0.684043275082086,-1
la,0.6708791370033595,-1
alexander,0.5367296006348606,-1
root,0.4064243760932777,-1
football,0.6480799510191347,-1
morning,0.5097766878538292,-1
expert,0.7568270293502044,-1
brook,0.434603293332212,-1
comfortable,0.5514204185395781,-1
main,0.5274711038157702,-1
determined,0.5176867263597323,-1
visa,0.5587645026166439,-1
turning,0.5036676741337812,-1
analyst,0.5714792481081795,-1
terrorist,0.6815412025470055,-1
kremlin,0.7044890079691208,-1
defend,0.5421434790093007,-1
previously,0.649131423496259,-1
present,0.6761955765662588,-1
legally,0.6819093529495553,-1
court,1.0,-1
worry,0.6538411458047135,-1
welcome,0.67630199498044,-1
decided,0.5441497057977285,-1
mother,0.5429241803190125,-1
gain,0.6635972186295511,-1
idea,0.5343031759228422,-1
presenter,0.6514326094470084,-1
dominate,0.6115642160636925,-1
address,0.6204371275024553,-1
politics,0.5930549789091645,-1
specialist,0.5763699575827196,-1
singing,0.6475580043930141,-1
try,0.497967431010342,-1
treat,0.6326443982920915,-1
location,0.581239673059521,-1
fury,0.5382326901745714,-1
mercenary,0.6668843462149173,-1
threat,0.710163070693498,-1
helping,1.0,-1
nurse,0.6288989647885523,-1
activity,0.4921678012886886,-1
engineer,0.5885727774167703,-1
inter,0.5520465253060018,-1
collapse,0.6070953199741695,-1
aggregate,0.5025054425597454,-1
donate,0.6897504654855499,-1
later,0.5304723110526146,-1
dismiss,0.5262819412726196,-1
development,0.5259149995654254,-1
threat,0.710163070693498,-1
ally,0.49425824544686403,-1
speech,0.5130743974459083,-1
recruit,0.62855783616178,-1
recession,0.5590584164768218,-1
financial,0.6343106446452034,-1
borrow,0.5253323708183854,-1
rain,0.503679656962846,-1
area,0.7437479592981973,-1
master,0.470706208024148,-1
superb,0.4875826053155186,-1
freedom,0.5289325265265185,-1
older,0.5110049081533826,-1
appear,0.7378410247133205,-1
department,0.49780254221629583,-1
escape,0.5522329228416194,-1
pregnant,0.6007825058528127,-1
written,0.5544010440991304,-1
glass,0.7538353064554341,-1
remarkable,0.6056133084620832,-1
floor,0.45871423831219665,-1
part,0.6518473942054561,-1
done,0.6026307982011692,-1
unlikely,0.6846142923781562,-1
transport,0.49052477252530446,-1
regret,0.5608297315788567,-1
film,0.7071067811865476,-1
mixed,0.7546890044314735,-1
tear,0.541299257109641,-1
dark,0.5080773459879033,-1
added,0.5165692656230587,-1
enjoy,0.505269397590463,-1
pride,0.5491661826254912,-1
cameraman,0.5953481245630967,-1
artillery,0.5754017019970808,-1
wearing,0.4831585495133843,9
conspiracy,0.6586431912771988,9
slow,0.5911316679817304,9
stranger,0.5878737061727436,9
marina,0.5933066942115154,9
pet,0.5276499494272309,9
priest,0.5434296403788574,9
door,0.54521215881771,9
jenny,0.5112257601665094,9
seek,0.58508611654592,9
remember,0.562906640066264,9
priest,0.5434296403788574,9
beauty,0.49008932540706013,9
rebel,0.5867069433579554,9
veteran,0.5865137869475668,9
suspected,0.5734742620202625,9
stone,0.6805755511233215,9
shown,0.5719074589290924,9
rage,0.5505141456454871,9
testing,0.5266166819830319,9
green,0.5895080535386685,9
saw,0.5855413901662982,9
coverage,0.5955169709543889,9
grow,0.471511549823075,9
offensive,0.6504505671043236,8
happen,0.557831005749105,8
symbol,0.5627208444318694,8
footage,0.7537324318974103,8
tank,0.6310268848861357,8
occupation,0.6054597401548125,8
spokesman,0.7083546690202085,8
bombardment,0.8781425707462814,8
tie,0.7049048046539956,8
respond,0.5911316679817304,8
stuck,0.5981927527773386,8
heart,0.6447761039201733,8
route,0.6556935535639133,8
there,0.5596210951870972,8
removing,0.516299756761176,8
metal,0.6290256278013099,8
base,0.4719689825024505,8
mercenary,0.6668843462149173,8
window,0.49447513249453845,6
crystal,0.5228612937089483,6
caught,0.5173263105462419,6
happen,0.557831005749105,6
everyone,0.7071067811865475,6
lady,0.5959290926788774,6
communication,0.5612471051985258,6
collection,0.5394980648942602,6
pupil,0.5895142347019908,6
comeback,0.567403515621357,6
streaming,0.6007534187220859,6
magazine,0.6706381001295071,6
landmark,0.49642171271155,6
nothing,0.6432284233609649,6
prestigious,0.519180946930782,6
kind,0.49669261401415166,6
scandal,0.7901290428836636,6
designer,0.608182564873203,6
link,0.7532941879828553,6
mary,0.6101780316499005,6
musician,0.5724249096307569,4
homeless,0.7330590942719215,4
surviving,0.7018147600092495,4
prisoner,0.6790460640628,4
notice,0.5450023054058228,4
talent,0.7201445036616728,4
bale,0.6625544830534182,4
legendary,0.7151663583753612,4
stone,0.6805755511233215,4
survive,0.47277126189153984,4
el,0.5229478395584508,4
inter,0.5520465253060018,4
insurance,0.4727819369055861,4
billion,0.6096440584294982,4
lay,0.5625785009782045,4
lay,0.5625785009782045,4
lane,0.5974728229136729,4
shut,0.6032668376153489,4
photographer,0.5651624606695735,4
recession,0.5590584164768218,4
militant,0.5036458487402475,4
agent,0.6075086234358984,4
fourth,0.6581900480136821,4
collapse,0.6070953199741695,4
recall,0.6190422213190017,4
serving,0.5826229070139062,4
mystery,0.6072403566691698,4
cross,0.5450184272903573,4
falling,0.49818049880021625,4
harder,0.5490279617199677,10
spokesman,0.7083546690202085,10
complex,0.584139716948252,10
suspected,0.5734742620202625,10
earl,0.5268045294411405,10
export,0.5094747046596905,10
network,0.5460073589695293,10
enter,0.5375578689392146,10
offensive,0.6504505671043236,10
cook,0.5692997237565783,10
plane,0.7113339089996064,10
selection,0.5724427540430321,10
humanitarian,0.5305713473048365,10
alliance,0.5752284065766171,10
feed,0.5159558657248984,10
link,0.7532941879828553,10
repair,0.6660545521000205,3
brain,0.7591385072727383,3
egg,0.6573653729939092,3
natural,0.5422585613225934,3
movement,0.6413798603254628,3
bin,0.5170718298043735,3
earth,0.5612787654851937,3
drink,0.6208142649684517,3
towards,0.4921742918625873,3
pope,0.5676787724774653,3
badly,0.6306944248580534,3
hostage,0.7009027576872578,3
boat,0.5473594959796788,3
option,0.6495789178386744,3
grapple,0.7480900556932459,3
destruction,0.7328254059023285,11
standard,0.692386191072753,11
occupation,0.6054597401548125,11
struck,0.6476249179912636,11
gang,0.6767109884415713,11
academy,0.5733932005003628,11
mask,0.4942946491047997,11
smoke,0.5487701879426319,11
cast,0.5556111349073034,11
wear,0.5681907863499147,11
anniversary,0.8088620230067656,11
language,0.5543434290746727,11
glass,0.7538353064554341,11
code,0.496543397018465,11
sweet,0.7197530374605241,11
cancel,0.6319897703394948,11
comedy,0.5497198432605367,11
sky,0.49507414463676,11
chart,0.49411911649342694,11
resort,0.5926368483710209,11
museum,0.6705639699824228,11
net,0.4613556686671692,11
sound,0.6553490656668145,11
laura,0.6730390706500011,11
continent,0.5816946232483715,11
spectacular,0.5390090325605803,11
arm,0.6049029623000816,11
musical,0.6652375751801225,11
short,0.5101588776729692,11
tower,0.5485285149265177,11
satellite,0.5647526339080675,11
always,0.658035615005849,11
actress,0.6673698224176343,11
youth,0.5489583509501126,7
consortium,0.4865091072707626,7
drummer,0.5365000386733784,7
nature,0.48685877330173116,7
broad,0.6382519092371591,7
voice,0.5280455916183752,7
ongoing,0.8126645306563307,7
photograph,0.5840889902903192,7
shame,0.5189700931851472,7
individual,0.505710778665624,7
item,0.5672474484651049,7
everyone,0.7071067811865475,7
girl,0.8043424024476823,7
formally,0.557467713286998,7
arrive,0.5448624758358733,7
lover,0.6011937498548671,0
barrier,0.7339948297877054,0
sweet,0.7197530374605241,0
spotted,0.785659196156747,0
viewer,0.7447264733620359,0
grapple,0.7480900556932459,0
maker,1.0,0
abbey,0.6031766288948958,0
screen,0.5908065960480454,0
moon,0.5908065960480454,0
aircraft,0.7262085000956076,0
greener,0.6242544968822835,0
abbey,0.6031766288948958,0
anna,0.5444150099443976,0
exactly,1.0,0
everyone,0.7071067811865475,0
aviation,0.5372205057271567,0
largely,0.5910972115642915,0
camera,1.0,0
meant,0.7585657915459961,0
operating,0.592298485664481,0
cool,1.0,0
division,0.6014515888187845,0
