word,tfidf,label
forget,0.5721159865486424,4
application,0.5688311498620368,4
trust,0.5800468750687962,4
rare,0.703001534904864,4
increasing,0.4873333345464357,4
cricketer,0.7228928852985231,4
spring,0.5994671409468799,4
ability,0.49387181976746486,4
push,0.5518037902471457,4
vaccine,0.6186815855044068,4
analyst,0.5714792481081795,4
development,0.5259149995654254,4
recruit,0.62855783616178,4
borrow,0.5253323708183854,4
floor,0.45871423831219665,4
unlikely,0.6846142923781562,4
artillery,0.5754017019970808,4
visa,0.5587645026166439,4
vow,0.5599937804889795,4
million,1.0,4
difference,0.5789404263582658,4
alongside,0.7120644450998904,4
uncertain,0.49024289241120284,4
abbey,0.6031766288948958,4
zone,0.5119960484339999,4
short,0.5101588776729692,4
blind,0.6148326173408922,4
help,0.8571322188668279,4
platform,0.5633118007249333,4
limit,0.6019760381178988,4
appointment,0.5218675373566588,4
documentary,0.5852460746674452,4
everyone,0.7071067811865475,4
away,0.5536838706705999,4
lewis,0.6481445614348554,4
position,0.5559679712729858,4
beginning,0.619937215011527,4
failure,0.5536965605759606,4
drinking,0.7190746912972003,4
hostage,0.7009027576872578,4
arm,0.6049029623000816,4
fourth,0.6581900480136821,4
decider,0.47908371409754297,4
truck,0.6477838054289486,4
restaurant,0.7884525128975289,4
analyst,0.5714792481081795,4
normal,0.587926350998841,4
drinking,0.7190746912972003,4
would,0.6893092875350966,4
communication,0.5612471051985258,4
athletics,0.5808557135806762,4
bombed,0.5356378461680779,4
family,0.7238403183424907,4
flew,0.7765368091464446,4
dancer,0.691287487067314,4
half,0.45942327031282093,4
enough,0.4787923813206662,4
push,0.5518037902471457,4
critic,0.8068202544662386,4
infection,0.5373933067483653,4
khan,0.4815922361120996,4
mayor,0.5656526277664761,4
society,0.7968962925879609,4
victim,0.7071067811865475,4
bottom,0.7664452584169893,4
tackling,0.6067165481507117,4
important,0.5632675195377822,4
professional,0.4559825298984772,4
management,0.536025930893019,4
peace,0.527861406328334,4
regret,0.5608297315788567,4
chase,0.5000427327507193,4
sacking,0.4707855963465786,4
tax,0.6791341251687821,4
city,0.5836342933219408,4
aiming,0.5345384396895074,4
broke,0.525195031207864,4
drop,0.49846030546101294,4
prize,0.5668661733188636,4
shine,0.4581653246769441,4
inspiration,0.43668453884327985,4
pushing,0.5452487851732551,4
antiwar,0.5083117789012536,4
comedy,0.5497198432605367,4
executive,0.5993832094818624,4
plane,0.7113339089996064,4
prison,0.607318411002746,4
main,0.5274711038157702,4
everything,0.6448860680580557,4
rape,0.7283204545958912,4
prison,0.607318411002746,4
rescuer,0.5487139012592837,4
sophia,0.5389261769553506,4
billionaire,1.0,4
declared,0.6333743388825094,4
site,1.0,4
continent,0.5816946232483715,4
reflect,0.5587440826082235,4
notice,0.5450023054058228,4
ability,0.49387181976746486,4
failure,0.5536965605759606,4
prof,0.565704965103382,4
sanction,0.5356980118884564,4
nuclear,0.7026478513470014,4
aid,0.7338017576334647,4
spring,0.5994671409468799,4
building,0.6757031926436291,4
hosting,0.5489636990679451,4
cyclist,0.5149695483075261,4
ongoing,0.8126645306563307,4
farmer,0.780646287491401,4
sold,0.6317283617939417,4
harassment,0.5849211115057532,4
daughter,0.5880403159391522,4
carrying,0.5870096857339203,4
widely,0.5259910699037278,4
scored,0.5140209871557225,4
yet,0.7652158562118455,4
harassment,0.5849211115057532,4
grant,0.5539209938277375,4
enjoy,0.505269397590463,4
van,0.592484120480411,4
perform,0.49397325049010216,4
memorable,0.5415545801511263,4
permanent,0.44561697417003016,4
van,0.592484120480411,4
supplier,0.5726642627170154,4
runner,0.487633228157843,4
play,0.5275975868481645,4
fair,0.5386554724379747,4
easy,0.5107285686342246,4
aside,0.48907193516456227,4
destruction,0.7328254059023285,4
german,0.6301219846447405,4
legally,0.6819093529495553,4
fatal,0.49130220910474137,4
information,0.5496216823739882,4
doubt,0.5470449939035085,4
aviation,0.5372205057271567,4
talking,0.609765424469445,4
star,0.5293268340763917,4
removed,0.6121704424627781,4
anything,0.5054366842615299,4
fallen,0.6229909177625317,4
bad,0.5621315242534722,4
meat,0.584139716948252,4
analyst,0.5714792481081795,4
fire,0.7014672517023247,4
written,0.5544010440991304,4
blind,0.6148326173408922,4
single,0.5015335208866538,4
damage,0.5811880175334515,4
chip,0.5406991439678354,4
previously,0.649131423496259,4
reverse,0.4904247161916067,4
lawsuit,0.5486441527092751,4
voice,0.5280455916183752,4
investigate,0.5121621068760225,4
given,0.7013105672060167,4
allegation,0.5907713740904856,4
unit,0.5839739597289391,4
opportunity,0.5671346644152115,4
headline,0.5263567430433335,4
overnight,0.6393320983577477,4
cant,0.7369384802382124,4
covered,0.5222158799008428,4
carbon,0.5785637325237376,4
visitor,0.6862293906407217,4
bout,0.6049029623000816,4
republic,0.6617339646458993,4
overseas,0.5618238313565184,4
emission,0.5421339484044415,4
sending,0.4845684468092554,4
suffering,0.5503683685505857,4
shut,0.6032668376153489,4
investigator,0.44592547050082393,4
fallen,0.6229909177625317,4
transport,0.49052477252530446,4
railway,0.5715005649367605,4
older,0.5110049081533826,4
impossible,0.4630242945744716,4
nurse,0.6288989647885523,4
entrepreneur,0.5918926544388403,4
misled,0.5122158674224772,4
gap,0.5566033259257827,4
complex,0.584139716948252,4
committee,0.6093971609188564,4
knew,0.569838619516003,4
carpet,0.6056567284823333,4
frank,0.567113926213922,4
acting,0.5895104492395381,4
burn,0.5427828739625771,4
infection,0.5373933067483653,4
opposition,0.5612787654851937,4
complete,0.7753789035507996,4
infection,0.5373933067483653,4
incoming,0.45815096417278206,4
